scenario,calibration_mode,route,route_label,mean_licensed_discovery_utility,mean_cost_normalized_utility,mean_true_licensed_claims,mean_overclaim_rate,mean_evaluator_strength,mean_calibration_quality,mean_goal_clarity,mean_route_domain_applicability,licensed_ordering_share,rank,scenario_label,mean_claim_gap,mean_overclaim_gap,mean_claim_calibration_accuracy,mean_final_claim_level,mean_licensed_claim_level,terminal_mean_overclaim_gap,terminal_mean_overclaim_rate
cheap_lab_future,imperfect,ai_scientist_pipeline,End-to-end AI scientist pipeline,0.04786919367551607,0.170723672593904,0.18334137283384497,0.13472784999749685,0.5928303759886957,0.5246862719910188,0.6633333333333333,0.6333333333333333,0.8333333333333334,5,Cheap laboratory future,0.08347382940353601,0.48333333333333334,0.5727565925360109,5.633333333333334,5.15,0.5,0.12415700651531224
cheap_lab_future,imperfect,llm_research_assistant,Human-led LLM assistant,0.047181654356974065,0.1814298951403982,0.15334542594857814,0.08760545464530047,0.6179786071109006,0.6375336322505326,0.6633333333333333,0.6733333333333333,0.8333333333333334,6,Cheap laboratory future,0.017792489549936882,0.016666666666666666,0.7639193053987027,4.75,4.733333333333333,0.0,0.08756262788235288
cheap_lab_future,imperfect,self_driving_laboratory,Self-driving laboratory,0.03050961065130751,0.06623294664969225,0.09771807479074149,0.03014485981574897,0.857769618101331,0.8112918303683367,0.6633333333333333,0.5416666666666665,0.8333333333333334,7,Cheap laboratory future,0.0,0.0,1.0,5.4,5.4,0.0,0.02985370430656589
evaluator_bottleneck,imperfect,hybrid_calibrated_loop,Hybrid-Cal loop,0.07086551739517223,0.18046319060993066,0.13792601211219815,0.04281692500826942,0.5058425845120309,0.8761225967281371,0.6633333333333333,0.8,0.8333333333333334,1,Evaluator bottleneck,0.0035232992772736274,0.0,0.9601847155686977,4.933333333333334,4.933333333333334,0.0,0.04286559391866481
evaluator_bottleneck,imperfect,algorithmic_math_agent,Algorithmic and mathematical discovery agent,0.05455867692388803,0.2084656663837022,0.14511312491051456,0.041546168909111066,0.578846387690901,0.823421484918676,0.6633333333333333,0.4833333333333334,0.8333333333333334,2,Evaluator bottleneck,5.6075395458534715e-05,0.0,0.9968629700916192,5.266666666666667,5.266666666666667,0.0,0.04132666538830478
evaluator_bottleneck,imperfect,multi_agent_coscientist,Multi-agent co-scientist,0.013855491192588528,0.04195473626397461,0.1286332393598938,0.12146379179822515,0.3773533302900692,0.6132785444758393,0.6633333333333333,0.7016666666666667,0.8333333333333334,3,Evaluator bottleneck,0.1636699206283211,0.6333333333333333,0.5396851191387385,4.85,4.216666666666667,0.6666666666666666,0.12043099933647912
evaluator_bottleneck,imperfect,specialized_foundation_model,Specialized foundation model,0.013013471508454767,0.03235327840274167,0.09000165698899779,0.08746371762295505,0.4268057385626047,0.6781871835820268,0.6633333333333333,0.655,0.8333333333333334,4,Evaluator bottleneck,0.05183722791943178,0.18333333333333332,0.6616998940634126,4.316666666666666,4.133333333333334,0.16666666666666666,0.08746969793812338
evaluator_bottleneck,imperfect,self_driving_laboratory,Self-driving laboratory,0.0071280572619728385,0.011987434767622979,0.06247701291840555,0.0625905294830044,0.5319657548576912,0.7486163385391549,0.6633333333333333,0.5416666666666665,0.8333333333333334,5,Evaluator bottleneck,0.011198396655644538,0.0,0.8626357841682775,4.966666666666667,4.966666666666667,0.0,0.062345188111463716
evaluator_bottleneck,imperfect,llm_research_assistant,Human-led LLM assistant,-0.0017629349943142497,-0.0024289720227245997,0.09230491520589615,0.11840944344609082,0.34507059266991197,0.5799675154255701,0.6633333333333333,0.6733333333333333,0.8333333333333334,6,Evaluator bottleneck,0.1640515142449482,0.6666666666666666,0.5103714135745017,3.9833333333333334,3.316666666666667,0.5,0.11837913339844487
evaluator_bottleneck,imperfect,ai_scientist_pipeline,End-to-end AI scientist pipeline,-0.018589900754142376,-0.04853319330778781,0.10893060388475166,0.17245114537083212,0.3251754886154861,0.46821752567760355,0.6633333333333333,0.6333333333333333,0.8333333333333334,7,Evaluator bottleneck,0.25449776350994796,1.1666666666666667,0.4120314225962911,4.966666666666667,3.8,1.1666666666666667,0.16869244378547352
goodhart_benchmark_environment,imperfect,hybrid_calibrated_loop,Hybrid-Cal loop,0.053863219061687805,0.14583411300690988,0.13824372343199876,0.0851738869473229,0.5441902924706544,0.8200576899346953,0.6633333333333333,0.8,0.8333333333333334,1,Goodhart benchmark environment,0.0613856186793035,0.31666666666666665,0.7952213496037712,5.633333333333334,5.316666666666666,0.16666666666666666,0.08024008985398276
goodhart_benchmark_environment,imperfect,algorithmic_math_agent,Algorithmic and mathematical discovery agent,0.052776573466263826,0.20221051605837204,0.14837123624589352,0.06724108807176835,0.6232329382351467,0.7678929198217526,0.6633333333333333,0.4833333333333334,0.8333333333333334,2,Goodhart benchmark environment,0.015596862344983893,0.03333333333333333,0.9124190763741094,5.866666666666666,5.833333333333333,0.16666666666666666,0.058770059312957056
